title,tradeAmount,averageStar,wishedCount,quantity,AverageDiscountPrice,MinDiscountPrice,MaxDiscountPrice
Winter Padded Cotton Coat Female New Korean Version Loose Long Knee Length Women's Windproof Warm Down Jacket Outerwear,68 sold,0.0,309,17726,18.412,16.31,27.34
2024 Women Parkas Winter Casual Long Coats Jackets Hooded Fur Collar Cotton Zipper Thicken Outwear Parkas Warm Coat Outwear,14 sold,5.0,46,23969,42.54,42.54,42.54
Faux Fur Woman Jacket Hooded Drawstring Parka Coat Zipper Front Pocket Warm Thick Snow Wear Thermal Overcoat Female Outwear,1 sold,0.0,3,599,25.445666666666668,24.28,26.62
2023 New Down Cotton Vest Women Autumn Winter Short Loose Casual Waistcoat Womens Fashion Large Size Sleeveless Jacket Top,800+ sold,4.5,1585,485033,11.98197674418605,2.06,21.36
New Winter Women Parka Hooded Jackets Thicken Warm Cotton-padded Puffer Coats Casual Long Parkas Clothes Loose Outerwear,43 sold,0.0,112,32651,15.25,15.25,15.25
Down Jacket Men White Duck Winter Coat Windproof Warm Parkas Travel Camping Overcoat New in Thicken Solid Color Hooded Clothing,500+ sold,4.7,2883,16345,48.13,48.13,48.13
Winter Clothes Women Heavy Jackets Coat Women Vintage Clothes Suit College Style Medium Length 2023 New Model,800+ sold,4.4,1793,48,23.704,20.64,28.91
Thick Down Cotton-Padded Jacket Jackets Women Overcoat Winter 2024 New Korean Loose Hooded Warm Parker Coat Short Outwear,0 sold,0.0,3,9000,19.209999999999997,19.21,19.21
Casual Short Winter Jacket Women Stand Collar Zipper High Street Cool Padding Coat Female  Winter Pu Leather Lady Down Coats,"1,000+ sold",4.0,5863,32890,11.6695,8.61,14.32
CHIC VEN Women's Jackets Vintage Fashion Lapel Warm Coats Casual  Long Sleeves Plush Tops for Woman Autumn Winter New 2023,4 sold,0.0,7,6,76.21,76.21,76.21
Winter Women Jacket Parka Clothes Fur Collar Warm Loose Long Coat Wool Liner Hooded Jacket Warm Thick Snow Wear Padded Parka,800+ sold,4.4,2409,747,25.037,22.44,29.55
Thicken Autumn Winter Jackets Women Cotton-Padded Parkas Solid Casual Warm Belted Puffer Coat Female Windbreakers Outerwear 2023,6 sold,5.0,55,89,25.954444444444444,25.81,26.38
2024 Winter Women Jacket Warm Black Hooded Zipper Long Parka Female Spring Trendy Fashion Parka Thick Velvet Padded Ladies Coat,52 sold,4.9,36,704,26.948333333333334,25.99,26.99
2023 Causal Ladies Padded Jacket Short Autumn Winter Wadded Jacket Women Hooded Short Coats Female Plus Size Parkas Overcoat,47 sold,5.0,745,3382,16.76166666666667,15.07,16.81
